level_0,Symbols,Close,High,Low,Open,Volume
2022-05-06,AMZN,114.772,119.051,113.081,114.85,124259900.0
2022-05-06,GOOGL,115.746,117.571,114.016,115.184,39709580.0
2022-05-06,PFE,47.8586,48.0293,46.8827,46.9315,20382462.73657
2022-05-06,BNTX,134.877,139.958,132.351,139.453,1417457.4856382
2022-05-06,MRNA,134.4,140.6,131.0,139.7,7013011.0
2022-05-09,AMZN,108.789,114.0,107.957,111.312,128124380.0
2022-05-09,GOOGL,112.511,115.077,112.001,113.25,40802860.0
2022-05-09,PFE,47.4683,47.9855,46.6192,47.2145,25629787.710712
2022-05-09,BNTX,138.987,144.742,137.184,138.244,2553162.5941193
2022-05-09,MRNA,135.8,141.6526,131.78,132.79,9625849.0
2022-05-10,AMZN,108.859,112.642,107.171,111.25,105433820.0
2022-05-10,GOOGL,114.395,116.25,112.901,115.508,39900380.0
2022-05-10,PFE,48.2977,48.6979,47.5122,47.8586,28010686.335186
2022-05-10,BNTX,143.058,145.861,137.977,138.016,2281179.0111307
2022-05-10,MRNA,132.32,139.055,127.61,137.4,8180204.0
2022-05-11,AMZN,105.372,110.156,104.429,108.104,109703640.0
2022-05-11,GOOGL,113.602,116.364,113.236,113.236,37534740.0
2022-05-11,PFE,48.2587,49.0248,47.8488,47.8879,30432644.105109
2022-05-11,BNTX,142.791,153.805,140.701,141.206,2413714.9755851
2022-05-11,MRNA,123.43,134.91,122.7204,130.74,7409302.0
2022-05-12,AMZN,106.931,110.781,102.406,102.75,132025140.0
2022-05-12,GOOGL,112.844,114.295,109.824,111.378,53836180.0
2022-05-12,PFE,49.5771,49.6164,47.9341,48.2095,34017215.599747
2022-05-12,BNTX,156.499,156.618,141.404,141.78,2248514.7318285
2022-05-12,MRNA,130.17,132.937,119.01,120.6,7106650.0
2022-05-13,AMZN,113.055,113.184,107.8,109.069,93684560.0
2022-05-13,GOOGL,116.051,117.875,113.605,114.533,35038480.0
2022-05-13,PFE,49.1146,49.9706,48.8786,49.5673,22791361.186671
2022-05-13,BNTX,157.331,163.433,155.182,158.48,1739435.972226
2022-05-13,MRNA,137.91,141.65,132.31,132.31,6494735.0
2022-05-16,AMZN,110.81,113.992,110.354,113.1,74565740.0
2022-05-16,GOOGL,114.445,116.17,113.89,114.956,25990440.0
2022-05-16,PFE,49.8526,50.2264,49.0655,49.1048,19754245.646156
2022-05-16,BNTX,149.764,157.925,148.719,156.232,1278535.8635655
2022-05-16,MRNA,136.26,141.6,133.82,135.87,4535615.0
2022-05-17,AMZN,115.368,115.8,111.277,113.275,76447740.0
2022-05-17,GOOGL,116.473,116.9,114.87,116.84,23053160.0
2022-05-17,PFE,50.5118,50.6889,49.3705,50.1281,20244793.288748
2022-05-17,BNTX,158.282,159.679,152.082,153.141,1068507.7985326
2022-05-17,MRNA,142.28,143.89,136.09,137.52,5960695.0
2022-05-18,AMZN,107.112,112.853,106.249,111.44,108379180.0
2022-05-18,GOOGL,111.899,115.4,111.556,115.0,35125980.0
2022-05-18,PFE,49.5869,50.5905,49.3508,50.3937,22641239.382549
2022-05-18,BNTX,155.568,159.273,154.23,155.707,848436.33081376
2022-05-18,MRNA,137.71,144.13,136.29,138.41,4977757.0
2022-05-19,AMZN,107.319,110.034,106.193,106.28,88142540.0
2022-05-19,GOOGL,110.384,113.01,110.0,111.432,34144400.0
2022-05-19,PFE,49.8329,50.0641,48.79,49.1934,20191252.555669
2022-05-19,BNTX,166.275,168.633,157.064,157.282,1839406.5972115
2022-05-19,MRNA,143.38,148.5,140.4601,140.87,7708082.0
2022-05-20,AMZN,107.591,109.898,105.009,109.568,99500640.0
2022-05-20,GOOGL,108.908,112.184,105.796,111.951,48962960.0
2022-05-20,PFE,51.6235,51.8497,50.3051,50.438,31762766.234224
2022-05-20,BNTX,161.452,167.652,158.389,166.493,1209525.3297303
2022-05-20,MRNA,136.25,144.77,131.35,143.07,5882504.0
2022-05-23,AMZN,107.557,108.819,103.95,108.461,107797360.0
2022-05-23,GOOGL,111.488,112.148,108.741,109.588,37184940.0
2022-05-23,PFE,52.0269,52.8288,51.6334,51.7317,24429952.367231
2022-05-23,BNTX,161.67,164.909,159.609,164.809,793237.99964702
2022-05-23,MRNA,137.62,141.31,136.235,137.6,4284431.0
2022-05-24,AMZN,104.1,105.4,101.26,104.025,102934680.0
2022-05-24,GOOGL,105.97,106.458,101.885,105.772,76779780.0
2022-05-24,PFE,52.5484,52.7431,51.8596,51.8596,27168065.319967
2022-05-24,BNTX,153.032,160.57,152.29,159.411,1113688.976357
2022-05-24,MRNA,132.06,136.6,126.77,136.235,6154311.0
2022-05-25,AMZN,106.775,108.175,103.65,103.656,93120100.0
2022-05-25,GOOGL,105.805,106.5,103.857,104.986,40257340.0
2022-05-25,PFE,52.8435,53.178,52.1893,52.3418,24397506.949281
2022-05-25,BNTX,153.201,156.38,149.13,152.735,679458.20076345
2022-05-25,MRNA,130.85,133.0,126.28,130.98,5343295.0
2022-05-26,AMZN,111.078,112.665,107.454,107.97,93002600.0
2022-05-26,GOOGL,107.792,108.649,105.225,105.677,37947220.0
2022-05-26,PFE,53.119,54.034,53.0108,53.1879,23901900.699924
2022-05-26,BNTX,156.648,157.747,152.181,154.37,670642.45968455
2022-05-26,MRNA,135.8,136.14,126.53,130.85,5155570.0
2022-05-27,AMZN,115.146,115.187,112.628,113.55,93660160.0
2022-05-27,GOOGL,112.316,112.318,109.138,109.483,37914120.0
2022-05-27,PFE,53.0403,53.5273,52.6516,53.0501,21758521.141516
2022-05-27,BNTX,165.374,166.087,156.133,158.356,1081784.9184282
2022-05-27,MRNA,147.66,148.5399,136.59,137.38,7590709.0
2022-05-31,AMZN,120.21,121.994,115.675,116.28,144634160.0
2022-05-31,GOOGL,113.762,115.735,112.078,112.746,50012260.0
2022-05-31,PFE,52.1843,52.632,51.1021,52.4599,67141342.662134
2022-05-31,BNTX,161.808,166.275,161.402,162.244,1057707.2032437
2022-05-31,MRNA,145.33,149.44,142.74,145.055,8343905.0
2022-06-01,AMZN,121.684,125.179,120.622,122.256,127528980.0
2022-06-01,GOOGL,113.892,117.102,113.25,114.855,36605520.0
2022-06-01,PFE,51.5252,52.4205,50.9988,52.391,17716373.155297
2022-06-01,BNTX,159.956,165.334,157.668,163.433,588716.23922293
2022-06-01,MRNA,143.4,149.08,140.87,146.09,3646586.0
2022-06-02,AMZN,125.511,125.61,120.045,121.684,100560680.0
2022-06-02,GOOGL,117.622,117.899,112.946,114.0,37992280.0
2022-06-02,PFE,51.8302,51.8892,50.2181,51.5252,22262503.51672
2022-06-02,BNTX,158.36,163.4026,155.86,160.56,1033651.0
2022-06-02,MRNA,140.18,142.5,130.92,140.2,7152203.0
2022-06-03,AMZN,122.35,124.4,121.046,124.2,97603320.0
2022-06-03,GOOGL,114.541,116.322,113.518,116.062,26135460.0
2022-06-03,PFE,52.3418,52.6664,51.6137,51.6137,18422148.914028
2022-06-03,BNTX,157.7,159.5,152.1401,158.12,917432.0
2022-06-03,MRNA,137.15,143.38,135.0702,139.58,4059345.0
2022-06-06,AMZN,124.79,128.99,123.81,125.245,135269024.0
2022-06-06,GOOGL,116.82,119.347,116.164,116.705,33541540.0
2022-06-06,PFE,52.4008,52.8484,52.145,52.332,16815672.822467
2022-06-06,BNTX,159.31,162.13,157.7522,159.2,812035.0
2022-06-06,MRNA,140.0,143.0,136.71,137.99,3139990.0
2022-06-07,AMZN,123.0,124.1,120.63,122.005,85156712.0
2022-06-07,GOOGL,117.149,117.691,115.052,115.48,31590460.0
2022-06-07,PFE,53.0895,53.0993,52.1548,52.4205,15338640.958974
2022-06-07,BNTX,160.12,162.09,156.99,157.05,690787.0
2022-06-07,MRNA,145.34,146.355,137.96,139.37,4072496.0
2022-06-08,AMZN,121.18,123.75,120.75,122.61,64926594.0
2022-06-08,GOOGL,117.194,118.57,116.6,116.762,26107740.0
2022-06-08,PFE,52.6074,53.6798,52.5484,53.1879,12999513.545076
2022-06-08,BNTX,161.73,163.73,158.73,159.28,870889.0
2022-06-08,MRNA,148.53,152.73,146.75,147.47,4711257.0
2022-06-09,AMZN,116.15,121.3,116.1,119.99,67029842.0
2022-06-09,GOOGL,114.836,118.299,114.776,116.328,25797960.0
2022-06-09,PFE,50.9447,52.7845,50.8659,52.4057,17866332.335935
2022-06-09,BNTX,149.27,162.15,149.18,161.91,1141122.0
2022-06-09,MRNA,134.04,148.74,134.0,148.46,7533958.0
2022-06-10,AMZN,109.65,114.5,109.05,113.415,87412245.0
2022-06-10,GOOGL,111.162,113.279,110.366,112.445,41481840.0
2022-06-10,PFE,49.1638,50.5413,49.1442,50.4822,24222958.08139
2022-06-10,BNTX,143.85,150.185,140.16,148.2,1171602.0
2022-06-10,MRNA,127.12,134.69,124.53,132.89,6265055.0
2022-06-13,AMZN,103.67,106.54,101.86,104.19,99277742.0
2022-06-13,GOOGL,106.392,108.792,106.119,106.786,47251920.0
2022-06-13,PFE,47.1371,48.485,46.9403,48.0324,27431521.463225
2022-06-13,BNTX,133.62,142.64,133.41,140.0,997117.0
2022-06-13,MRNA,117.13,124.78,115.61,122.71,6700729.0
2022-06-14,AMZN,102.31,104.88,101.43,104.19,69728761.0
2022-06-14,GOOGL,106.715,107.924,105.8,106.535,33706260.0
2022-06-14,PFE,47.1469,47.6831,46.4582,46.9796,23672213.32322
2022-06-14,BNTX,134.82,138.85,132.81,135.59,832564.0
2022-06-14,MRNA,121.56,123.15,115.89,117.26,5499054.0
2022-06-15,AMZN,107.67,109.06,103.53,103.86,85011060.0
2022-06-15,GOOGL,109.764,111.423,107.67,108.545,39698180.0
2022-06-15,PFE,47.7274,48.1899,46.4189,47.1075,26170180.176407
2022-06-15,BNTX,137.99,139.47,133.68,135.84,1453440.0
2022-06-15,MRNA,128.53,131.38,122.44,122.44,6965005.0
2022-06-16,AMZN,103.66,104.58,102.01,104.47,82186301.0
2022-06-16,GOOGL,106.034,108.648,105.138,107.221,51684960.0
2022-06-16,PFE,46.714,47.2256,46.2959,46.9207,20759404.125061
2022-06-16,BNTX,129.15,134.78,126.62,134.78,1323003.0
2022-06-16,MRNA,121.08,125.255,118.06,124.38,5719968.0
2022-06-17,AMZN,106.22,106.98,102.51,102.8,99772147.0
2022-06-17,GOOGL,107.143,108.699,105.046,106.034,51376520.0
2022-06-17,PFE,45.7793,47.2552,45.5334,46.6157,45786330.025119
2022-06-17,BNTX,125.14,131.5,125.07,130.2,2202420.0
2022-06-17,MRNA,128.03,128.77,120.2,120.73,8355966.0
2022-06-21,AMZN,108.68,111.6299,103.56,108.2,70901245.0
2022-06-21,GOOGL,111.544,112.489,108.6,108.93,47415800.0
2022-06-21,PFE,47.3339,47.6585,46.1966,46.5566,19943886.989804
2022-06-21,BNTX,123.25,131.02,122.39,130.2,2106315.0
2022-06-21,MRNA,129.99,134.575,129.67,130.495,4321370.0
2022-06-22,AMZN,108.95,112.13,107.02,107.43,60040131.0
2022-06-22,GOOGL,111.488,113.346,110.382,110.556,30774140.0
2022-06-22,PFE,48.2784,48.7792,47.0002,47.2552,20719130.419126
2022-06-22,BNTX,123.66,127.27,117.08,122.0,1971091.0
2022-06-22,MRNA,136.07,139.9,126.5901,127.5,6048409.0
2022-06-23,AMZN,112.44,113.0,107.93,110.39,64345300.0
2022-06-23,GOOGL,112.242,112.742,110.501,112.232,28361920.0
2022-06-23,PFE,49.2819,49.3606,48.1899,48.3079,20390600.488548
2022-06-23,BNTX,132.29,132.87,122.69,123.66,1039026.0
2022-06-23,MRNA,143.26,143.66,132.8,136.04,4721237.0
2022-06-24,AMZN,116.46,116.71,111.43,112.38,69867618.0
2022-06-24,GOOGL,117.975,118.079,112.953,112.995,41163680.0
2022-06-24,PFE,50.7578,50.8069,49.4885,49.8329,24742328.703815
2022-06-24,BNTX,134.04,134.285,129.22,133.0,1020193.0
2022-06-24,MRNA,144.27,144.89,138.22,143.99,8480488.0
2022-06-27,AMZN,113.22,117.98,112.7,117.09,62133240.0
2022-06-27,GOOGL,115.834,118.58,115.18,118.273,36420760.0
2022-06-27,PFE,51.043,51.3825,50.433,50.6495,16419150.013021
2022-06-27,BNTX,143.71,144.2799,138.08,140.24,1870605.0
2022-06-27,MRNA,145.36,146.4,138.49,143.0,4392762.0
2022-06-28,AMZN,107.4,114.85,107.04,113.5,75172028.0
2022-06-28,GOOGL,112.008,117.31,111.848,115.803,35880960.0
2022-06-28,PFE,49.8427,51.1316,49.5968,50.9938,16728640.799153
2022-06-28,BNTX,139.82,144.368,138.91,141.21,903276.0
2022-06-28,MRNA,142.19,149.79,140.95,143.4,3988199.0
2022-06-29,AMZN,108.92,110.99,106.91,107.38,66375341.0
2022-06-29,GOOGL,111.702,113.16,110.873,111.552,24716820.0
2022-06-29,PFE,50.1182,50.6101,49.8427,49.9116,14154001.038616
2022-06-29,BNTX,141.98,143.25,137.01,139.64,1054370.0
2022-06-29,MRNA,142.81,144.36,138.618,140.425,2908054.0
2022-06-30,AMZN,106.21,108.18,102.52,108.11,97679401.0
2022-06-30,GOOGL,108.963,110.888,106.75,110.0,43169060.0
2022-06-30,PFE,51.5842,52.0318,50.2609,50.8561,34044951.035027
2022-06-30,BNTX,149.1,153.8,142.1,146.525,2495583.0
2022-06-30,MRNA,142.85,147.35,135.52,143.4,5631685.0
2022-07-01,AMZN,109.56,109.75,105.8469,106.29,73021171.0
2022-07-01,GOOGL,108.738,109.25,106.73,107.933,35475660.0
2022-07-01,PFE,51.4661,51.5252,50.4232,51.2005,16407969.648463
2022-07-01,BNTX,157.5,157.5,147.2,148.0,1335180.0
2022-07-01,MRNA,149.95,151.1,139.54,141.93,4838179.0
2022-07-05,AMZN,113.5,114.08,106.3242,107.6,76684414.0
2022-07-05,GOOGL,113.263,113.377,105.732,107.101,39399640.0
2022-07-05,PFE,50.8069,51.0529,49.5869,50.9151,18709675.365785
2022-07-05,BNTX,161.03,162.82,151.08,151.37,1651658.0
2022-07-05,MRNA,155.54,158.79,146.84,148.66,6016132.0
2022-07-06,AMZN,114.33,115.48,112.01,113.21,66958884.0
2022-07-06,GOOGL,114.572,115.59,111.476,113.302,37431380.0
2022-07-06,PFE,51.899,52.1056,50.7478,50.8069,21654868.998088
2022-07-06,BNTX,160.2,160.66,155.25,157.06,867227.0
2022-07-06,MRNA,159.56,161.01,150.4,154.51,4955561.0
